#,Peptide,ACP Score,ACP,AFP Score,AFP,AMP Score,AMP,AVP Score,AVP,ACVP Score,ACVP,Hemolysis Threshold,Hemolysis Conc (ug/ml),Hemolysis /Y/N
1,"seq_epochs_()_num_1",0.99,Yes,0.76,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,No
2,"seq_epochs_()_num_2",0.97,Yes,0.76,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,Yes
3,"seq_epochs_()_num_3",1.0,Yes,0.13,No,0.98,Yes,1.0,Yes,0.74,Yes,20,50.0,Yes
4,"seq_epochs_()_num_4",1.0,Yes,0.52,Yes,0.99,Yes,0.56,Yes,0.94,Yes,20,50.0,Yes
5,"seq_epochs_()_num_5",0.82,Yes,0.5,No,0.98,Yes,0.56,Yes,0.45,No,20,50.0,No
6,"seq_epochs_()_num_6",0.99,Yes,0.28,No,0.7,Yes,0.91,Yes,0.85,Yes,20,50.0,Yes
7,"seq_epochs_()_num_7",1.0,Yes,0.33,No,0.96,Yes,1.0,Yes,0.49,No,20,50.0,No
8,"seq_epochs_()_num_8",0.54,Yes,0.35,No,0.99,Yes,0.92,Yes,0.19,No,20,50.0,No
9,"seq_epochs_()_num_9",0.47,Yes,0.02,No,0.63,Yes,0.99,Yes,0.86,Yes,20,50.0,No
10,"seq_epochs_()_num_10",0.61,Yes,0.02,No,1.0,Yes,0.87,Yes,0.97,Yes,20,50.0,No
11,"seq_epochs_()_num_11",0.93,Yes,0.77,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
12,"seq_epochs_()_num_12",0.72,Yes,0.33,No,0.75,Yes,0.93,Yes,0.1,No,20,50.0,No
13,"seq_epochs_()_num_13",0.95,Yes,0.25,No,0.87,Yes,0.98,Yes,0.52,Yes,20,50.0,No
14,"seq_epochs_()_num_14",0.32,No,0.03,No,0.84,Yes,0.91,Yes,0.95,Yes,20,50.0,Yes
15,"seq_epochs_()_num_15",0.38,No,0.22,No,0.54,Yes,0.98,Yes,0.78,Yes,20,50.0,Yes
16,"seq_epochs_()_num_16",0.99,Yes,0.69,Yes,0.97,Yes,1.0,Yes,0.3,No,20,50.0,No
17,"seq_epochs_()_num_17",0.51,Yes,0.25,No,0.82,Yes,0.32,No,0.96,Yes,20,50.0,Yes
18,"seq_epochs_()_num_18",0.95,Yes,0.59,Yes,0.98,Yes,0.91,Yes,0.75,Yes,20,50.0,No
19,"seq_epochs_()_num_19",1.0,Yes,0.53,Yes,1.0,Yes,1.0,Yes,0.96,Yes,20,50.0,Yes
20,"seq_epochs_()_num_20",0.17,No,0.15,No,0.98,Yes,0.9,Yes,0.95,Yes,20,50.0,No
